Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Zach LaVine,MIN,82,33,2.6,$2148360.0,0.07624633431085046,$5237281.03
Nemanja Bjelica,MIN,60,0,1.9,$4000000.0,0.05571847507331379,$3827243.83
Kevin Garnett,MIN,38,1.1,$8500000.0,0.03225806451612904,$2215772.74
Kevin Martin,MIN,12,0.8,$7085000.0,0.023460410557184758,$1611471.09
Andre Miller,MIN,0,0.5,$1499187.0,0.014662756598240472,$1007169.43
Tayshaun Prince,MIN,77,44,0.4,$1499187.0,0.011730205278592379,$805735.54
Tyus Jones,MIN,0,0.3,$1282080.0,0.008797653958944282,$604301.66
Greg Smith,MIN,0,0.2,$128161.0,0.005865102639296189,$402867.77
Damjan Rudez,MIN,0,0.1,$1149500.0,0.0029325513196480947,$201433.89
Nikola Pekovic,MIN,3,-0.1,$12100000.0,-0.0029325513196480947,$-201433.89
Adreian Payne,MIN,2,-0.5,$1938840.0,-0.014662756598240472,$-1007169.43
Brook Lopez,BRK,73,73,6.2,$20000000.0,0.27312775330396477,$21391156.7
Thaddeus Young,BRK,73,73,4.1,$11200000.0,0.18061674008810572,$14145764.91
Donald Sloan,BRK,61,33,2.0,$1015421.0,0.0881057268722467,$6900373.13
Shane Larkin,BRK,78,17,1.4,$1500000.0,0.06167400881057269,$4830261.19
Rondae Hollis-Jefferson,BRK,17,1.2,$1335480.0,0.05286343612334802,$4140223.88
Willie Reed,BRK,2,1.2,$947276.0,0.05286343612334802,$4140223.88
Bojan Bogdanovic,BRK,79,39,0.9,$3425510.0,0.039647577092511016,$3105167.91
Jarrett Jack,BRK,32,0.9,$6300000.0,0.039647577092511016,$3105167.91
Sean Kilpatrick,BRK,0,0.9,$221176.0,0.039647577092511016,$3105167.91
Wayne Ellington,BRK,76,41,0.8,$1500000.0,0.03524229074889868,$2760149.25
Joe Johnson,BRK,57,0.7,$24894863.0,0.030837004405286344,$2415130.59
Markel Brown,BRK,62,6,0.6,$845059.0,0.02643171806167401,$2070111.94
Thomas Robinson,BRK,71,7,0.6,$981300.0,0.02643171806167401,$2070111.94
Henry Sims,BRK,4,0.4,$50170.0,0.01762114537444934,$1380074.63
Sergey Karasev,BRK,5,0.3,$1599840.0,0.013215859030837005,$1035055.97
Chris McCullough,BRK,4,0.3,$1140240.0,0.013215859030837005,$1035055.97
Andrea Bargnani,BRK,0,0.2,$1362900.0,0.00881057268722467,$690037.31
Anthony Davis,NOP,61,61,7.2,$7070730.0,0.23841059602649012,$19045836.72
Ryan Anderson,NOP,66,7,3.9,$8500000.0,0.12913907284768214,$10316494.89
Jrue Holiday,NOP,65,23,3.4,$10595507.0,0.11258278145695366,$8993867.34
Toney Douglas,NOP,61,18,2.5,$1164858.0,0.08278145695364239,$6613137.75
Dante Cunningham,NOP,80,46,2.1,$3000000.0,0.06953642384105961,$5555035.71
Eric Gordon,NOP,44,2.1,$15514031.0,0.06953642384105961,$5555035.71
Alonzo Gee,NOP,73,38,1.9,$1375000.0,0.06291390728476821,$5025984.69
Omer Asik,NOP,68,64,1.7,$11000000.0,0.05629139072847683,$4496933.67
Tyreke Evans,NOP,25,1.4,$11227000.0,0.046357615894039736,$3703357.14
Tim Frazier,NOP,1,1.2,$94448.0,0.039735099337748346,$3174306.12
Luke Babbitt,NOP,13,1.1,$1100000.0,0.036423841059602655,$2909780.61
Alexis Ajinca,NOP,59,17,1.0,$4300000.0,0.033112582781456956,$2645255.1
James Ennis,NOP,5,0.8,$24855.0,0.02649006622516557,$2116204.08
Bryce Dejean-Jones,NOP,11,0.2,$169883.0,0.0066225165562913925,$529051.02
Jordan Hamilton,NOP,4,0.2,$59731.0,0.0066225165562913925,$529051.02
Nate Robinson,NOP,1,0.0,$44000.0,0.0,$0.0
Norris Cole,NOP,23,-0.1,$3036927.0,-0.0033112582781456962,$-264525.51
Jimmer Fredette,NOP,0,-0.1,$54812.0,-0.0033112582781456962,$-264525.51
Kendrick Perkins,NOP,5,-0.1,$1499200.0,-0.0033112582781456962,$-264525.51
Orlando Johnson,NOP,1,-0.2,$55722.0,-0.0066225165562913925,$-529051.02
Carmelo Anthony,NYK,72,72,6.4,$22875000.0,0.18338108882521495,$13737606.79
Robin Lopez,NYK,82,82,5.8,$13000000.0,0.16618911174785103,$12449706.15
Kristaps Porzingis,NYK,72,72,4.3,$4131720.0,0.12320916905444129,$9229954.56
Jose Calderon,NYK,72,72,4.0,$7402812.0,0.11461318051575935,$8586004.24
Derrick Williams,NYK,80,9,3.6,$4900000.0,0.10315186246418341,$7727403.82
Langston Galloway,NYK,82,7,3.3,$845059.0,0.09455587392550145,$7083453.5
Arron Afflalo,NYK,71,57,2.7,$8000000.0,0.07736389684813756,$5795552.86
Lance Thomas,NYK,59,5,1.7,$1650000.0,0.04871060171919772,$3649051.8
Kyle O'Quinn,NYK,65,1,1.6,$3750000.0,0.04584527220630374,$3434401.7
Sasha Vujacic,NYK,61,25,1.1,$1356146.0,0.031518624641833824,$2361151.17
Jerian Grant,NYK,76,6,0.8,$1572360.0,0.02292263610315187,$1717200.85
Jimmer Fredette,NYK,0,0.1,$59731.0,0.0028653295128939836,$214650.11
Thanasis Antetokounmpo,NYK,0,0.0,$75000.0,0.0,$0.0
Lou Amundson,NYK,0,-0.1,$1650000.0,-0.0028653295128939836,$-214650.11
